2023-07-21 06:56:39,654-INFO-Exception : n9ZnfBHhdnt11vZ - ORA-06550: line 1, column 7:
PLS-00221: 'SLT_CUST_FEATURE_UPD_API' is not a procedure or is undefined
ORA-06550: line 1, column 7:
2023-07-23 12:55:24,627-INFO-Cursor conn : dMLRzYlg2UTT83A @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-23 12:55:24,640-INFO-Exception : dMLRzYlg2UTT83A - ORA-06502: PL/SQL: numeric or value error: character to number conversion error
ORA-06512: at line 1
2023-07-23 13:30:52,968-INFO-DB conn : 7zigEGTYJtQO3TZ - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-23 13:30:52,968-INFO-Cursor conn : 7zigEGTYJtQO3TZ @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-23 13:30:52,984-INFO-Exception : 7zigEGTYJtQO3TZ - ORA-06502: PL/SQL: numeric or value error: character to number conversion error
ORA-06512: at line 1
2023-07-23 13:45:16,760-INFO-DB conn : 2xLAnADzbjE47A6 - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-23 13:45:16,760-INFO-Cursor conn : 2xLAnADzbjE47A6 @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-23 13:45:16,760-INFO-Exception : 2xLAnADzbjE47A6 - 'cx_Oracle.Connection' object has no attribute 'VARCHAR2'
2023-07-25 10:16:21,285-INFO-DB conn : Z9CPATRdKav1ARX - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
